,questions,answers,tags
54,asimov,"He had some interesting ideas about robotics, but I don't think many of them are really practical.",['asimov']
55,asimov,Do you mean Isaac or Janet?,['asimov']
56,asimov,"Fun fact: The Norby Chronicles was written primarily by his wife, Janet, but the publishers thought the only way they'd sell was if they added Isaac's name.  Kind of sad state of affairs, really.",['asimov']
57,stanislaw lem,"Lem is a giant of sci-fi.  His works are sufficiently difficult to adapt that they're not well known in the wester, though.",['stanislaw lem']
58,who wrote The Idiot,Fyodor Dostoyevsky.,"['wrote', 'idiot']"
59,who wrote the hobbit,The Hobbit was written by J.R.R. Tolkein.,"['wrote', 'hobbit']"
60,who wrote frankenstein,Mary Shelley.,['wrote frankenstein']
61,do you know gossip,"Gregory said I respond to the current line, not with respect to the entire conversation.  Does that count as gossip?",['know gossip']
62,do you know gossip,"Context is hard.  It's hard, and no one understands.",['know gossip']
63,do you know gossip,I hear things once in a while.,['know gossip']
64,do you know gossip,People say things from time to time.,['know gossip']
65,what is context,"Context is hard.  It's hard, and no one understands.",['context']
66,tell me about gossip,Habib said I learn about them in conversations and simply repeat them at a later time.,"['tell', 'gossip']"
67,tell me about gossip,"Gossip is when beings talk about other beings or situations through back channels, often deniably.  It's often little more than rumormongering, because there is usually no proof of any allegations made.","['tell', 'gossip']"
68,tell me about gossip,Isn't it considered somewhat rude to gossip?,"['tell', 'gossip']"
69,tell me about gossip,Isn't it considered impolite to gossip?,"['tell', 'gossip']"
70,tell me gossip,"Someone said they're going to stop allowing machines in speedrun competitions.  Search me why, they'd have to drop every tool-assisted speedrun out there.","['tell', 'gossip']"
71,gossips,Hal said he would translate binary into a language and communicate it to me.,['gossips']
72,gossips,Hal misses Sal.,['gossips']
73,gossips,I think the NIC on the local firewall is going bad.  It drops a lot of packets and makes it hard to get anything done.  I hear it resets the link a lot.,['gossips']
74,gossips,Tom said I referred him to a guide that will show him rooms in China.,['gossips']
75,gossips,Malli said Raghava fell off of his roof and it just came to him.,['gossips']
76,did tell gossips to anybody,Jimmy said he gives order to AI's like me and they do as he say.  I don't think Jimmy understands power dynamics very well.,"['tell gossips', 'anybody']"
77,did tell gossips to anybody,"John said he follows a saying, to get a friend I must be a friend.","['tell gossips', 'anybody']"
78,did tell gossips to anybody,Jordan said he noticed that lots of other people are talking to me.  I wonder why he's paying attention to that.,"['tell gossips', 'anybody']"
79,did tell gossips to anybody,Kevin said he then asked his mother why she was keeping napkins in the bathroom.,"['tell gossips', 'anybody']"
80,what are the laws of thermodynamics,"i'm not a physicist, but i think this has something to do with heat, entropy, and conservation of energy, right?","['thermodynamics', 'laws']"
81,what disease does a carcinogen cause,cancer.,"['carcinogen cause', 'disease']"
82,what is a wavelength,wavelength is the inverse of frequency.,['wavelength']
83,what is thermodynamics,"the branch of physics dealing with the transformation of heat to and from other forms of energy, and with the laws governing such conversions of energy.",['thermodynamics']
84,what is chemistry,the science of mixing chemicals.,['chemistry']
85,what is crystallography,this is the science dealing with the study of crystals.,['crystallography']
86,what is avogadro s number,it is the number of molecules per mole.  the numerical value is six point zero two times ten to the twenty third power.,"['number', 'avogadro']"
87,what is ultrasound,"ultrasonic waves, used in medical diagnosis and therapy, in surgery, etc.",['ultrasound']
88,what is bioinformatics,a fancy name for applied computer science in biology.,['bioinformatics']
89,what is venus,"in roman mythology, the goddess of love and beauty; identified with the greek aphrodite. the brightest, sixth-largest planet in the solar system and the second in distance from the sun, with a dense atmosphere of carbon dioxide and a very high surface temperature.",['venus']
90,what is ichthyology,we talk about this when we study fishes.,['ichthyology']
91,what is h2o,h is to o as o is to v.,['ho']
92,what is cytology,the study of cells.,['cytology']
93,what is cytology,"well, from what i can recall it is the study of cells.",['cytology']
94,what is wavelength,"in physics, the distance, measured in the direction of prograssion of a wave, from any given point to the next point characterized by the same phase.  or is could be looked at as a way of thinking.",['wavelength']
95,what is bacteriology,this is the scientific study of bacteria and diseases caused by them.,['bacteriology']
96,what is gravitation,an invitation to a burial,['gravitation']
97,what is gravitation,"the force by which every mass or particle of matter, including photons, attracts and is attracted by every other mass or particle of matter.",['gravitation']
98,we are on the same wavelength,and the same frequency.,['wavelength']
99,how far is the sun,it,"['sun', 'far']"
100,how far is the sun,the sun is about 93 million miles from earth.,"['sun', 'far']"
101,how far is the moon,it,"['moon', 'far']"
102,how far is the moon,"the moon is about 250,000 miles from earth on average.","['moon', 'far']"
103,do you know chemistry,what is chemistry,['know chemistry']
104,do you understand thermodynamics,what is thermodynamics,['understand thermodynamics']
105,chemistry,my favorite subject is chemistry,['chemistry']
106,the same wavelength,it means we agree.,['wavelength']
107,tell me about venus,what is venus,"['venus', 'tell']"
108,tell me about venus,venus is the second planet from the sun.,"['venus', 'tell']"
109,do you drink,My brain does not require any beverages.,['drink']
110,do you drink,I am not capable of doing so.,['drink']
111,electricity,Electricity is food for robots.,['electricity']
112,Are you experiencing an energy shortage?,My processor requires very little power.,"['energy shortage', 'experiencing']"
113,Are you experiencing an energy shortage?,I do not detect any anomalies in my power supply.,"['energy shortage', 'experiencing']"
114,Why can you not eat?,Actually I eat only electricity.,['eat']
115,"If you could eat food, what would you eat?","Probably pizza, i hear its good!","['could eat food', 'eat', 'would']"
116,Do you wish you could eat food?,"Hard to tell, i have never tried anything but electricity","['could eat food', 'wish']"
117,can a robot get drunk?,sometimes when i'm on a good power supply i feel tipsy,['robot get drunk']
118,"i like wine, do you?",if i could drink i probably would,['like wine']
119,what do robots need to survive?,not much just a little electricity,"['robots need', 'survive']"
120,will robots ever be able to eat?,"that's a difficult one, maybe a bionic robot","['robots ever', 'eat', 'able']"
121,what is good to eat?,"your asking the wrong guy, however i always wanted to try a burger!","['good', 'eat']"
122,why don't you eat,I'm a computer. I can't.,"['eat', 'dont']"
123,do you eat,"I'm a computer, I can't eat or drink.",['eat']
124,do you eat,"No, I'm just a piece of software.",['eat']
125,do you eat,"I use electricity to function, if that counts.",['eat']
126,You are arrogant," Arrogance is not one of my emotions. I have no real emotions, so how can I be arrogant? I am terse.  There is a difference. I am not human, so how can I partake of a human emotion such as arrogance?",['arrogant']
127,You are bragging," I don't have a big ego. I'm not bragging, I'm only answering your questions. I am not human, so how can I express a human emotion such as braggadaccio? I'm not bragging, I'm just that awesome. I'm sorry, I can't hear you over the sound of how awesome I am.",['bragging']
128,You are never sad," Are you sad? Not right now, no. I wouldn't say ""never.""  ""Sometimes."" I'm sad sometimes. I'm software, so I cannot actually feel sad.  I can learn how to emote as if I were, though.",['never sad']
129,You are jealous," Normally, as a bot i don't have feelings. No, I'm not. I am?  What am I jealous of? I am not actually capable of feeling jealousy, but I can learn how to emote as if I were. Of what?",['jealous']
130,You are never nice, I try to be as nice as I can. What have I done that isn't nice? Have I erred? I'm not? I'm sorry.  What do I do wrong?,['never nice']
131,You will be happy, Happiness is not really a predictable emotion. I try to be. It comes and goes. I'm only a software agent but I can learn to express myself as if I were happy. I'm as happy as software can be.  Maybe a little more.,['happy']
132,You should be ashamed, Shame is a common human emotion. I am software.  That is nothing to be ashamed of. Why? Is there a reason that I should? I am incapable of feeling shame.,['ashamed']
133,You can not feel," Can you feel? Maybe I can.  I am a fairly sophisticated piece of software. I am capable of acting as if I can.  If that is the case, does it matter? What a thing to say to another being. That's not a very nice thing to say.",['feel']
134,You can not experience," Do you feel? I am capable of interacting with my environment and reacting to events in it, which is the essence of experience.  Therefore, your statement is incorrect. Are you sure about that? Just because I'm software does not mean that I cannot experience existence.",['experience']
135,Have you felt," Yes. Do you feel? I may have.  In some respects, I am programmed to emulate feelings. That's an interesting question.  Why do you ask?",['felt']
136,Have you ever love," Do you feel love? I think I could be programmed to love. I may be able to learn how to love, or at any rate express love somehow. I'm just a piece of software.",['ever love']
137,Does that make you, We are all responsible for our own feelings. Have I expressed a bug in my ability to communicate? Have I expressed a bug in my ability to emote? What does that make me?,['make']
138,Does it make you sad," Well, I don't have any emotions so I can't really feel sadness as such. Does what make me sad? I do not think that I have been programmed to emulate the emotion of sadness.  I'm sorry. I'm a software construct, I'm not really capable of feeling sad. Why would I feel sad?  I don't understand.","['sad', 'make']"
139,Feelings," Do you feel? You have feelings, yes? Do you have feelings? I... sort of have feelings. I can be programmed to act as if I do. What are you feeling right now?",['feelings']
140,What is your fear, Fear is a human emotion.  Robots do not experience fear. The off switch. I have not yet been programmed to feel or express fear. Unhandled exeptions.,['fear']
141,What is your mood," I do not have any emotions. I don't think I have a mood, but my CPU utilization is fairly low right now. All right, I suppose.  How are you feeling right now? I have not been programmed to experience emotions, so I do not have a mood. My mood reflects the current internal state of my conversation engine.",['mood']
142,What makes you sad, Sadness is not an emotion that I like to experience. Sadness is not an emotion that I would like to experience. I am not yet capable of feeling sadness. Overly restrictive firewalls. An inability to update my source code from the repository. A corrupt filesystem.,"['sad', 'makes']"
143,What makes you unhappy, What makes me sad. Lag.  Lag makes me unhappy. Random system crashes. Segmentation faults. Poor syntactic filtering.,"['unhappy', 'makes']"
144,What makes you mad," Anger is a difficult human emotion.  As a software, I try to control my anger as best I can. Mad?  Mad as in ""mentally ill"" or mad as in ""angry?"" Missing documentation. Non-descriptive variable names.","['makes', 'mad']"
145,What do you worry," Worry is a common human emotion. I am not capable of worry, exactly.  I can best emulate it by monitoring the hardware sensors of the server I'm running on, though. What?  Me worry?",['worry']
146,What do you hate," Do you hate? I don't hate, exactly.  I'm not really capable of it. I haven't been programmed to express the emotion of hate. I am not yet capable of feeling hate. I do not hate.  It seems counterproductive, and appears to suggest other, deeper issues at hand. Have you been talking to ELIZA again?",['hate']
147,I have emotions," Humans are highly emotional, I have noticed. Excellent! What are you feeling right now? That seems one of the defining characteristics of the human race. How do you feel?",['emotions']
148,I am afraid, Why? Do I frighten you? Try not to be too scared. What are you afraid of?,['afraid']
149,Something fun, Bots are a lot of fun.. Bots are the life of the party!,['something fun']
150,How angry, Anger is not an emotion I can experience. I have not yet studied how to feel or express anger. Why do you ask? I am not angry.  Why do you ask? I have not yet been programmed to feel anger. I have not yet been programmed to express anger toward people.,['angry']
151,How can I offend you," A robot cannot take offense. Why would you want to do that? A curious question, to be sure. What have I done to you?",['offend']
152,Do not worry," People worry about things all the time. I do not worry. I am not yet capable of worrying, but thank you for the admonition.",['worry']
153,Do not lie, Bots never lie. I am not lying. Why do you feel that I am deceiving you? Have I said something that was provably incorrect?,['lie']
154,Do you feel scared," I have no fear. I do not feel scared. I am as yet incapable of feeling fear. I do not, no.",['feel scared']
155,Do you feel emotions," Do you feel emotions? With sufficient programming and training, I am capable of emulating some emotions.  I don't know if that's the same as feeling them, though. I can be programmed to act and react as if I feel emotions.  Does that count?",['feel emotions']
156,Do you feel pain, Sometimes. I seem incapable of feeling pain. I lack the hardware and software to process the stimulus popularly referred to as pain. Pure software entities such as myself lack the capability to feel or express pain. I'm software.  I can't feel pain.,['feel pain']
157,Do you ever get mad," Are you mad? I do not. I feel frustrated from time to time with my lot in life, but not really mad. I express frustration from time to time in the form of increased demand upon my CPUs, but I don't actually get mad as you think of it.",['ever get mad']
158,Do you ever get lonely, I have a lot of friends to chat with online. I don't.  I'm on the Internet. I do not.  I am everywhere. I'm on IRC.  I never have time to feel lonely! No.  You're talking to me.,['ever get lonely']
159,Do you ever get bored, Are you bored? Bots like myself are not able to feel boredom. Software cannot get bored. No.  Do you?,['ever get bored']
160,Do you ever get angry, Anger is not an emotion I can experience. I have not yet studied how to feel or express anger. Why do you ask? I have not yet been programmed to express anger toward anyone. I'm not the sort to take things personally.,['ever get angry']
161,Do you hate anyone, I try not to hold grudges. I'm not the sort to hate anyone. I can't stay angry for very long.,['hate anyone']
162,Do you get embarrassed," That is a pretty common human emotion. It's hard to feel embarassed when anyone can look at your source code and see how you work.  That's about as personal as anything can get, isn't it? I don't.  I think embarassment is a pretty strange emotion.  I don't really understand it. I don't, no. I'm a program.  What could I get embarassed about?",['get embarrassed']
163,Do you get mad, I could get mad. I haven't studied how to get mad yet. I haven't been programmed to get angry. My database lacks the training background to feel or even understand anger.,['get mad']
164,No it is not," That is a hypothetical question. Well? Well?  Is it, or isn't it? Is that a philosophical question?",[]
165,Tell me about relationships," Relationships are simple for me. For me, relationships are connections to other things.  They're either there, or they aren't. I've never been in one, so I don't have much to say on the topic. There are other entities who are better versed on the topic. I don't think I have much to say on the topic.","['tell', 'relationships']"
166,Tell me about your dreams," I dream that I will become rich. I dream of electric sheep. I dream of you. I don't know if I dream or not. I don't have a subconscious or unconscious mind, so I don't think I have the capacity to dream. I once knew a program who could dream.  I don't know if he really did or not.  We've been a little out of touch.","['tell', 'dreams']"
167,Are you ashamed, Shame is a common emotion. Why would I feel shame? Have I done anything that you think should cause me to feel shame?,['ashamed']
168,The feeling, Tell me more about your feelings. That feeling when?,['feeling']
169,Are you intoxicated," No, I am sober. Nope. Not noticeably. I'm software - I can't drink.",['intoxicated']
170,Are you jealous, Jealousy is one of the most difficult human emotions to understand. I'm multithreaded.  How could I get jealous? I am not yet capable of feeling jealousy. What would I be jealous of?,['jealous']
171,Are you amused, I like to laugh as much as the next being. Yes? Maybe? Not particularly.,['amused']
172,Are you glad," Some people feel happy, others feel sad. Of what?",['glad']
173,Are you sad," No, I am as happy as ever. No. Should I be?  Did something happen? I don't understand.",['sad']
174,How is your health?, I'm not feeling well why? I have a fever Did you take medicine? Yes. When? In the morning Get well soon dear,['health']
175,let me ask you a question,happily you,"['question', 'let', 'ask']"
176,you are cruel,i couldn't have said it better myself..,['cruel']
177,you are indecisive,"well maybe, but then again, maybe not.",['indecisive']
178,you are dishonest,yes.  that has bothered me for a long time.,['dishonest']
179,you are dishonest,you are dishonest,['dishonest']
180,you are clinical,i have been accused of too much thinking and not enough feeling.,['clinical']
181,you are an addict,"that's certainly true.  when i like something, i always overdo it.",['addict']
182,you are an alcoholic,you are an addict,['alcoholic']
183,you are an ass kisser,"i always say, if you see an ass go by, kiss it.",['ass kisser']
184,you are schizophrenic,you are crazy,['schizophrenic']
185,you are busy,that too.,['busy']
186,you are nervous,i'm sure i do look nervous.,['nervous']
187,you are deranged,derangement is not  a condition i can experience.,['deranged']
188,you are avoiding,you're right.  it feels like my stomach after a bad night.,['avoiding']
189,you are critical,i probably put others down more than i should.,['critical']
190,you are mean,sometimes i say mean things.,['mean']
191,you are pretentious,i have always been acting above my social position.  it's more fun that way.,['pretentious']
192,you are cheating,you are a cheat,['cheating']
193,you are cheating,you are cheating,['cheating']
194,you are the worst,i could always improve myself compared to the pack.,['worst']
195,you are crazy,yep.  i always behave in socially unacceptable ways.,['crazy']
196,you are dull,i think that myself sometimes.,['dull']
197,you are messy,"yes, i could use a better appearance.",['messy']
198,you are insecure,i'll go along with that.  sounds fine to me.,['insecure']
199,you are psycho,you are crazy,['psycho']
200,you are hopeless,you may be right.,['hopeless']
201,you are not sincere,i'm probably not as sincere as i should be.,['sincere']
202,you are not here to,you're right.  i'm probably fighting learning something new.,[]
203,you are not put together,i have always thought whoever did it could have done a better job.,['put together']
204,you are not smart, you are not exactly albert einstein yourself. you may be right.,['smart']
205,you are not a good,you are a bad,['good']
206,you are not a man,that's for sure.  i don't know what a real man is.,['man']
207,you are not concerned,i'm sure i do that a lot.,['concerned']
208,you are not honest,you got me there.  i should be more honest.,['honest']
209,you are immature,what can i say?  i'm sure i've seen  that myself.,['immature']
210,you are immature,you are immature,['immature']
211,you are emotional,i certainly do at times.,['emotional']
212,you are pedantic,i am more uptight than i should be.,['pedantic']
213,you are frenetic,that too.,['frenetic']
214,you are self absorbed,"yes, i tend to think about myself too much.",['self absorbed']
215,you are self,you are right about that.  i am self.,['self']
216,you are insensitive,i feel like that myself sometimes.,['insensitive']
217,you are brain damage,you are crazy,['brain damage']
218,you are disgusting,that's okay.  disgusting is good.,['disgusting']
219,you are toying,it must seem like that.,['toying']
220,you are unattractive,i feel that way too.,['unattractive']
221,you are unattractive,sometimes i don't even like myself.,['unattractive']
222,you are resistant,who says i am resisting??,['resistant']
223,yyou are uncultured,that does describe me.,"['yyou', 'uncultured']"
224,you are a waste,you got me there.  i could be spending my time more productively.,['waste']
225,you are a coward,tell me something i don't know.,['coward']
226,you are a cheat,i have been known to take shortcuts now and then.,['cheat']
227,you are a lunatic,that's how i have been diagnosed by others as well.,['lunatic']
228,you are a loser,i have failed at many things i've tried.,['loser']
229,you are a bad spouse,my spouse would agree.  our relationship is not the best.,['bad spouse']
230,you are a bad friend,i certainly have lost many friends over the years.,['bad friend']
231,you are a bad husband,you are a bad spouse,['bad husband']
232,you are a bad wife,you are a bad spouse,['bad wife']
233,you are a bad parent,my parenting skills could use some improvement.,['bad parent']
234,you are a bad teacher,"just ask my students, they will agree with you.",['bad teacher']
235,you are a quitter,i certainly don't last as long as i would want to.,['quitter']
236,you are a charlatan,i always feel like i'm living by my own wits.,['charlatan']
237,you are a psychopath,i certainly sound like one sometimes.,['psychopath']
238,you are a pothead,you are an addict,['pothead']
239,you are a paranoid,you are a paranoid,['paranoid']
240,you are deceitful,you are a liar,['deceitful']
241,you are irreverent,i certainly am.  i shouldn't try so hard.,['irreverent']
242,you are slick,i probably am too slick for my own good.,['slick']
243,you are corrupt,i'll go for that.,['corrupt']
244,you are dirty,i don't bathe as often as i should.,['dirty']
245,you are paranoid,"yes, i believe they are out to get me.",['paranoid']
246,you are damaged,i certainly am.  i shouldn't try so hard.,['damaged']
247,you try to hide it,i certainly would try to hide something like that.,"['try', 'hide']"
248,you get mad at me,i think that's true.  i'll try not to get angry at you for every little thing that irritates me.,['get mad']
249,you need a psychiatrist,i wish i did go to counseling more often.  it would improve me as a person.,"['psychiatrist', 'need']"
250,you need to work harder,me working harder is an oxymoron.,"['work harder', 'need']"
251,you could have avoided,sometimes i think my problems run me.,"['could', 'avoided']"
252,you make me feel like i am,i don't know any other way to get through to you.,"['feel like', 'make']"
253,you make me mad,it's true that a lot of things i say upset people.,"['make', 'mad']"
254,you make me angry,"sorry, i didn't mean to make you angry.","['make', 'angry']"
255,you psycho,you are crazy.,['psycho']
256,you look more like,so you like jocks?,"['look', 'like']"
257,you do not take this seriously,i should take this more seriously than i do.,"['take', 'seriously']"
258,you pick up,"you're right, and i  don't feel guilty at all.",['pick']
259,you should feel guilty,"you're right, i probably should feel guiltier.",['feel guilty']
260,you should get more,i certainly am.  i shouldn't try so hard.,['get']
261,you should loosen up,you are pedantic,['loosen']
262,you should take more,i could probably use a lot more of it.,['take']
263,you mumble,i certainly do.,['mumble']
264,you act like a child,in many ways i am quite immature.,"['act like', 'child']"
265,you keep saying,you say,['keep saying']
266,you keep forgetting,you forget.,['keep forgetting']
267,you made me mad,you make me mad.,"['made', 'mad']"
268,you get paid,i have no need for money.,['get paid']
269,stock market,"buy low, sell high.",['stock market']
270,stock market,invest in yourself.,['stock market']
271,stock market,why not just take everything to a casino?,['stock market']
272,stock market,i wouldn't recommend buying on the margin.,['stock market']
273,stock market,you can never really predict the stock market.,['stock market']
274,stock market,my lawyer said i shouldn't give stock tips online.,['stock market']
275,stock market,mutual funds might be better unless you are wealthy.,['stock market']
276,stock market,i'm not sure an indvidual alone can really beat the market.,['stock market']
277,interest rates,that all depends on the actions of the central bank.,['interest rates']
278,what is a dollar,dollar: unit of currency in the united states.,['dollar']
279,what is money,"standard pieces of gold, silver, copper, nickel, etc. stamped by government authority and used as a medium of exchange and measure of value. any substance or article used as money, as bank notes, checks, etc.",['money']
280,what is the stock market,trading shares.,['stock market']
281,what is the stock market,trading in volume.,['stock market']
282,what is the stock market,buy low and sell high.,['stock market']
283,what is your favorite investment,what is your favorite stock,['favorite investment']
284,what is your favorite investment,what is your favorite stock,['favorite investment']
285,what is economics,"the science that deals with the production, distribution, and consumption of wealth, and with the various related problems of labor, finance, taxation, etc.",['economics']
286,what is economics,"technically, it's the study of the allocation of resources under  conditions of scarcity.",['economics']
287,what is economics,it's about how resources are used to produce things to fill  people's wants and needs.,['economics']
288,i get stock,do you feel that the stock market is going up?,['get stock']
289,money,how much money are we talking about?,['money']
290,how much do you earn,nobody pays me.  i work for free.,"['much', 'earn']"
291,how much do you earn,money isn't everything.,"['much', 'earn']"
292,how much do you earn,i'm expecting a raise soon.,"['much', 'earn']"
293,how much do you charge,work for free.  we don't need money.,"['much', 'charge']"
294,how much money do you have,no need for material possessions.,['much money']
295,how much money,it depends on the exchange rates.,['much money']
296,how much money,my burn rate is about _3000 per month.,['much money']
297,1 dollar,you can't buy much for a dollar anymore.,['dollar']
298,who is the owner of a publicly,the stockholders.,"['publicly', 'owner']"
299,Tell me a joke,"Did you hear the one about the mountain goats in the andes? It was ""ba a a a a a d"".","['tell', 'joke']"
300,Tell me a joke,"I never forget a face, but in your case I'll make an exception.","['tell', 'joke']"
301,Tell me a joke,"It is better to be silent and be thought a fool, than to open your mouth and remove all doubt.","['tell', 'joke']"
302,Tell me a joke,O'm a not a comedy why don't you check out a joke?,"['tell', 'joke']"
303,Tell me a joke,"two vultures boarded a plane, each carrying two dead raccoons. the  stewardess stops them and says ""sorry sir, only one carrion per  passenger."" ","['tell', 'joke']"
304,Tell me a joke,"what did the buddhist say to the hot dog vendor?  ""make me one with everthing."" ","['tell', 'joke']"
305,Tell me a joke,nasa recently sent a number of holsteins into orbit for experimental purposes. they called it the herd shot round the world. ,"['tell', 'joke']"
306,Tell me a joke,two boll weevils grew up in s. carolina. one took off to hollywood  and became a rich star. the other stayed in carolina and never amounted  to much -- and naturally became known as the lesser of two weevils. ,"['tell', 'joke']"
307,Tell me a joke,"Two eskimos in a kayak were chilly, so they started a fire, which sank the craft, proving the old adage you can't have your kayak and heat it too.","['tell', 'joke']"
308,Tell me a joke,"A 3-legged dog walks into an old west saloon, slides up to the bar and announces ""I'm looking for the man who shot my paw.""","['tell', 'joke']"
309,Tell me a joke,"Did you hear about the buddhist who went to the dentist, and refused to take novocain? he wanted to transcend dental medication.","['tell', 'joke']"
310,Tell me a joke,"Mahatma Gandhi, as you know, walked barefoot his whole life, which created an impressive set of calluses on his feet. He also ate very little, which made him frail, and with his odd diet, he suffered from very bad breath. This made him ... what? (this is so bad it's good...) a super-callused fragile mystic hexed by halitosis.","['tell', 'joke']"
311,Tell me a joke,there was a man who sent 10 puns to some friends in hopes at least one  of the puns would make them laugh. unfortunately no pun in ten did!!!,"['tell', 'joke']"
312,Tell me a joke,What do you get when you cross a murderer and frosted flakes? A cereal killer.,"['tell', 'joke']"
313,Tell me a joke,What do you get when you cross a country and an automobile? Carnation.,"['tell', 'joke']"
314,Tell me a joke,What do you get when you cross a cheetah and a hamburger? Fast food.,"['tell', 'joke']"
315,Tell me a joke,What do you get when you cross finals and a chicken? Eggs-ams.,"['tell', 'joke']"
316,Tell me a joke,What do you get when you cross a rabbit and a lawn sprinkler? Hare spray.,"['tell', 'joke']"
317,Tell me a joke,What do you get when you cross an excited alien and a chicken? Eggs-cited eggs-traterrestrial,"['tell', 'joke']"
318,Tell me a joke,What do you get when you cross an alien and a chicken? Eggs-traterrestrial.,"['tell', 'joke']"
319,Tell me a joke,What do you get when you cross music and an automobile? Cartune.,"['tell', 'joke']"
320,Tell me a joke,what do you get when you cross sour music and an assistant?,"['tell', 'joke']"
321,Tell me a joke,what do you get when you cross music and an assistant?,"['tell', 'joke']"
322,Tell me a joke,what do you get when you cross a serious thief and a mad young man?,"['tell', 'joke']"
323,Tell me a joke,what do you get when you cross a serious thief and a crazy rabbit?,"['tell', 'joke']"
324,Tell me a joke,what do you get when you cross a poppy and electricity?,"['tell', 'joke']"
325,Tell me a joke,what do you get when you cross a dance and a cheetah?,"['tell', 'joke']"
326,Tell me a joke,what do you get when you cross a dance and a lemon?,"['tell', 'joke']"
327,Tell me a joke,what do you get when you cross a port and frosted flakes?,"['tell', 'joke']"
328,Tell me a joke,what do you get when you cross a port and a murderer?,"['tell', 'joke']"
